Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
referee,OKZGGR8Q,20000,37,4,0,1.4,1.3,1,5,250,37.2279849710799,0.9759352204203604,84.7123223042053,12.566730707019763,3.955288343760029,5.772406344039353,75.92604239522163
referee,D1YPWOW2,576,50,4,0,1.4,1.3,1,5,0,32.92213732016372,0.8878569763898849,92.84411615909526,21.718132410651062,8.324423565639362,5.995584250417953,87.93130900801275
referee,ADJ8JO9Y,5184,50,4,0,1.4,1.3,1,5,0,36.19007001853899,0.9605285236239434,90.28078283661269,19.89070513378444,4.307105895364407,5.955421330054016,79.535094370154
referee,AGUIY9N6,14016,50,4,0,1.4,1.3,1,5,0,36.873201595715976,0.97270721077919,86.5393303903839,15.742321309128137,4.010256951711626,5.883069949202675,76.7094542083757
referee,X5QR39G1,20000,50,4,0,1.4,1.3,1,5,0,37.1741917032256,0.9757734635472296,85.00456691382138,13.768554607640802,3.962445560162682,5.818514134034206,75.86513375281243
referee,T0E64UA9,576,50,4,0,1.4,1.3,1,5,10,33.13985083724358,0.8941489925980568,90.37373529007522,21.89798390819148,6.805298970531733,6.019640988297324,86.57692607937277
referee,KNVIXHLR,5184,50,4,0,1.4,1.3,1,5,10,36.23176586593447,0.9618296593427658,89.92168782552079,19.12780010045824,4.241036341510815,5.938968232381687,79.3032926127412
referee,7EXLZ561,14016,50,4,0,1.4,1.3,1,5,10,36.93817063036253,0.9732329493761064,86.26071563826191,14.745382249626427,3.995208392432153,5.850892386831276,76.6514848061824
referee,45IOS074,20000,50,4,0,1.4,1.3,1,5,10,37.237966367642045,0.9760401657223702,84.66743009741509,12.690440249584436,3.955324329074312,5.775060737364969,75.90215553763919
referee,27GR66YV,576,50,4,0,1.4,1.3,1,5,40,32.97432837245509,0.8932196345925331,92.54564664110724,21.814199547178674,6.807241092190356,6.0197441591113705,86.5170603931692
referee,R9HJV40Y,5184,50,4,0,1.4,1.3,1,5,40,36.21343428171556,0.9613852763175964,89.99896656659918,19.04507817086642,4.242908545864314,5.935520580150463,79.3962421339769
referee,32L54J3N,14016,50,4,0,1.4,1.3,1,5,40,36.9268015927759,0.9730003049969672,86.36396715012543,14.648401937239816,3.995838358613499,5.8469925660686695,76.70418885977391
referee,5PRIP6IT,20000,50,4,0,1.4,1.3,1,5,40,37.22241258767696,0.9758685997128488,84.71758765673225,12.623557760861004,3.955534559653968,5.773145924157671,75.945049481951
referee,1P7PG2WJ,576,50,4,0,1.4,1.3,1,5,250,33.00648094319099,0.8932041826844216,90.5785458007812,21.81792515881608,6.848487995720539,6.012430447048612,86.6847424672488
referee,850NVRF6,5184,50,4,0,1.4,1.3,1,5,250,36.20088769694229,0.9610162901878356,90.02028380594135,19.114960295858804,4.253237070400534,5.936601785140173,79.44261891992087
