Sequence,Video ID,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
misato,4W2C061Y,32.47463670631892,0.9488636660575867,102.53833232301304,10.15173006022049,4.103479112466034,12.59819862477495,55.5081898926166
misato,4DI0BPY2,32.239590575980394,0.9457968139648437,104.37245954258304,8.87470781273691,4.0646695924590235,12.557958596965024,55.2414143371081
misato,93F9Y44B,32.24780358149217,0.9431421381235122,103.83973811848969,11.462105426856366,4.182285357648412,12.810204939075357,56.25805012068268
misato,7SPD0NEV,31.843754400335484,0.9313444277644157,106.68535218581206,12.644803134995094,4.278598044968288,13.017874311985596,57.908613648883424
misato,YK9VGMG4,32.33645955764024,0.9477011582255364,103.68824854239,8.216807304585922,4.038573148067807,12.366983976337451,54.700088461649074
misato,U2NCSFD0,32.22861200779486,0.9456293568015098,104.48826132089121,9.005075666792232,4.0675168975896785,12.603559825906627,55.2406368606639
misato,B7PNFCS0,32.48144524545086,0.9490108066797256,102.47054620707955,10.138171704176372,4.103402502133024,12.594173798386068,55.48646479880585
misato,SJ56ML02,32.230128934566146,0.9456470832228661,104.50392939573695,9.022253564394324,4.06698346565858,12.598795628375765,55.24434725637728
misato,KEJIPX8A,32.34393471169173,0.9478836703300476,103.59282122154707,8.118280945777506,4.038428591331294,12.321391235050152,54.69159310928317
misato,O94RSODB,29.903821162403553,0.7361280643939971,114.82739331235534,13.991665002894269,7.321618249879899,13.27502156716178,69.95935315224033
misato,ZWF2XI75,32.244797358566956,0.9430537417531013,103.89416097366895,11.472125188455507,4.182471263725855,12.810282085101596,56.27293595016313
misato,SIKM50ZE,29.823393173635726,0.7270838841795921,114.30546917438274,13.894971427010555,7.707380910604136,13.266749098990488,70.40513791831631
misato,WLEGJQBC,29.82607227637683,0.7271723267436028,114.61628249782987,13.893708522264232,7.700612965815953,13.266351458011831,70.3380221062469
misato,EIOG892E,32.24511890300967,0.943066512644291,103.88234745008673,11.462631663750937,4.181591579716065,12.808794922678755,56.276551531676
misato,CRHX7IIN,32.289931244148775,0.9432521751523018,103.24767373287999,12.299212395727563,4.192184604350076,12.845749949363432,56.33708723822984
misato,OF99Y94H,31.84874153254468,0.9311287879943848,107.00574545958716,12.564229922905787,4.275914634534966,12.990344423546805,58.10451242903552
misato,L893N4RM,29.508253485722243,0.6536989736557007,114.56917757884835,13.27148052341078,12.412881771522786,13.245226125257213,74.6752092154346
misato,IP1EPG4W,31.84771842240538,0.9309958600997925,107.03206463758681,12.56236606443959,4.27603215235814,12.987849030671304,58.1187977685794
misato,S8KGKRNP,31.59693738679878,0.9162509080767631,107.4316471450617,13.96197328818185,4.429702792329525,13.106361361078966,59.16649468424184
misato,UWJFZGO1,32.48591990836625,0.9490829795598984,102.46751864149304,10.119246961943196,4.102826973990912,12.592003438464504,55.48814617062827
misato,E65Z96KI,32.53843821886228,0.9491934266686439,101.7359683304398,11.26840988335024,4.144239569505067,12.679824332883237,55.686996832889655
misato,AKZK8ZJW,29.90782827905199,0.7362706872820854,114.94917098042065,13.99860580185096,7.314588379068592,13.275668161651238,69.9257573205254
misato,VLRVR1LC,32.29229725241127,0.943255175948143,103.17137975622104,12.317099234166387,4.1922947268278135,12.843764801954732,56.34241579629864
misato,W9YEX8EV,32.24017606132661,0.9458293670415878,104.35750543378661,8.886194743856526,4.062977958124716,12.557838831018515,55.24479604359305
misato,GS7LSVEC,32.22787555360917,0.9456003203988075,104.50204929711622,9.021364122809313,4.06703064235219,12.60333975292567,55.2482852061719
misato,5UULFER6,32.34192464225818,0.9478113839030265,103.62921612774889,8.199315748515703,4.039225343090839,12.355352672485846,54.70111877596131
misato,6GJGNCX4,32.5403067727993,0.9492095434665679,101.73704575255593,11.266846775876557,4.143375016848526,12.679595274723495,55.682104420143204
misato,QVWG7V1R,32.34032651208942,0.9478078293800354,103.59077875192902,8.10974555940918,4.038306843137009,12.330179701163843,54.67793354346268
misato,AQY6OIZP,29.39199100157834,0.639492564201355,114.33196504870753,13.192643715441058,12.252563496902365,13.23688378423997,75.2314398832142
misato,EIIZLIJT,29.81672455947411,0.727544033229351,115.02378674165699,13.894660856728404,7.689326971471218,13.26409610580633,70.3989181067627
misato,53LGKRPH,29.907089603742488,0.7362901937961578,114.96447691213353,13.996612321962573,7.319934553057863,13.276305330504124,69.94747609338947
misato,6YVL8H8D,32.24499790320532,0.9430376321077347,103.93194239004627,11.464894973575246,4.182458053985509,12.809880688175157,56.27464260577235
