Sequence,Video ID,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,1X0B1NBR,32.358254904955174,0.9316607529844217,100.5982446455512,17.863526190653154,33.026382494158796
ant,2XTJUFUM,32.20158494807083,0.9313244057531974,100.03980125054697,17.821349737267507,33.338090656142036
ant,V0L39TUC,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,1VD4XQX3,32.27279113891181,0.9316439720528635,100.79569383742934,17.984426449196267,32.39292959299295
ant,AC6CABKW,32.32361722283229,0.9311692539732255,99.874549987092,17.929235045960787,33.06044775391944
ant,MBJE9VO7,32.84322392160063,0.9333310139119921,97.32878888735333,18.067291927534036,34.183576622820134
ant,X6KJRTU2,32.25081414853453,0.9311608686969055,101.5203877446774,17.973326439729025,33.68484711683892
ant,64ZB8WFS,32.29345364975316,0.9312445702244393,99.83791596128155,17.842413616649118,34.05146719114488
ant,P11MLTU4,32.24270428186748,0.931374429470271,101.08350062596926,17.853137675962365,34.67168471289105
ant,9JTTEGCO,32.27983032689491,0.9317655397291801,100.06545350864306,17.840069713615264,34.898844614334756
ant,ZOHQWGBH,32.2937586741209,0.9312586173489319,101.76894741425969,17.800788209634526,33.9690312797255
ant,UARXUQNK,32.307088106790964,0.9309351559895188,101.43638560428953,18.028702446975032,32.68268834125086
ant,D4MMDRUE,32.29247423971805,0.9309720649054988,101.76797395761352,18.07716294037402,31.031425328854464
ant,0KJZ0LMI,32.34792075568176,0.9311211079507324,100.58192129869559,18.021967459874382,31.253396890267638
ant,FDS1HFFO,32.878590013051394,0.9336742800266589,97.07649016683558,18.185689748915507,34.14834965291055
ant,S8G4DOZ1,32.31826121731651,0.9312606287832877,100.73817538225161,17.99550180883573,34.055266506449904
ant,15FK63AK,32.22978296443442,0.9313756079223026,99.84371160929538,17.770775802031405,34.099966059282025
ant,WZSREGF5,32.889341540832746,0.9336777056627605,97.15520189849362,18.236311571369537,34.352161059995346
ant,LZ0RGEPZ,32.29247423971805,0.9309720649054988,101.76797395761352,18.07716294037402,31.031425328854464
ant,PJ91LPUU,32.85124574967654,0.9336545247936723,96.88137542419082,17.959095331917624,35.074359847224535
ant,DSCNQ6SG,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,A9IPF2H0,32.305480173613454,0.9317582907961376,99.67007599324945,17.871959113178427,32.226504902805694
ant,1BVOBJQ0,32.320109821255876,0.9318395992416647,100.29413671299177,17.882168068488603,32.860036169345676
ant,P947MJ68,32.279558710435715,0.9317406801442009,101.71189488754133,17.967043868021506,32.40704778122783
ant,B7JCL7OE,32.308713120530705,0.9319054721599788,101.00650637389825,17.866003894746868,32.15114610718208
ant,CDX9WCOI,32.279558710435715,0.9317406801442009,101.71189488754133,17.967043868021506,32.40704778122783
ant,SMMSQMN9,32.261252538065634,0.9312379303856275,99.34008673237786,17.974743250837506,31.656495640310197
ant,U6BSOUZW,32.84723277061789,0.9335534477708352,96.8407088736487,17.93949056917005,34.50668119542185
ant,T4G8XGK5,32.30560440781979,0.9315482108154107,99.67345654659758,18.002783166469655,31.865771383688138
ant,22KBXPJE,32.363926479775195,0.9311877800457513,101.21165030245186,18.029773984347294,30.97256896650275
ant,GTV6YEFB,32.188390638739044,0.9317809242514236,101.76467760181536,17.983005647360862,32.90235707813172
ant,FG0U12VB,32.27050488803973,0.9319521752162953,98.94276232408563,18.09659029715142,33.04214725080623
ant,WYM47D38,32.868407501072184,0.9334704769191458,97.30756857350976,18.189678199853663,34.304743256923125
ant,UI262WNF,32.25967992746337,0.931844231797688,101.03771061623796,17.868304113370886,32.71163041400266
ant,Y5V5T111,32.86981092881087,0.9335143708471042,97.31380159388247,18.05441129732341,34.736486066270295
ant,SH72ZCJ4,32.8474328932964,0.9336097620019865,96.9055221169423,18.213441772445254,34.243925230042336
ant,RM33HLY0,32.261252538065634,0.9312379303856275,99.34008673237786,17.974743250837506,31.656495640310197
ant,E6EYFSG9,32.332907383074286,0.9319416581101678,100.40276555830019,17.921584231332854,32.024905269640044
ant,7V08WXC7,32.2706462949113,0.9319508852650277,98.94311731034259,18.06017720779032,33.033699009500864
ant,752FWGDB,32.35477503956081,0.9316411765653696,100.20423473393072,18.046769044787677,32.14277851483934
ant,FB0JUFVL,32.30332957970795,0.931835482962689,100.02072282659807,18.149970712429855,32.51238499206896
ant,4ODG6ABL,32.188390638739044,0.9317809242514236,101.76467760181536,17.983005647360862,32.90235707813172
ant,MZX5XZMC,32.36143843714886,0.9313173139866312,100.54496126859911,18.012141138469868,30.475553462747666
ant,B6A1NVO6,32.37945026193272,0.9315033027188695,100.96655281055176,17.954322277913395,31.442365068681244
ant,9PHNXEQT,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,LAZLTHYU,32.27880348922345,0.9315612197515384,99.47135728571648,18.04207626363513,31.63429159603195
ant,D65P3BDY,32.868720406788796,0.9335497359731304,96.99374979726167,18.09273337733698,34.623946122388084
ant,PAR8BMHN,32.24489252042936,0.9320091504362685,100.78480612706149,17.982998824273565,32.932203187349934
ant,XH8N2GB9,32.86912041840997,0.9335798707174424,97.15167266124047,18.213860911061854,34.56592252049873
ant,GS8QOVCK,32.27876060140399,0.9315603330953798,99.46962702042453,18.048043825323703,31.63567929740657
ant,NYY3DTEE,32.2955069994003,0.9315693491133884,99.77726276147234,18.01187108125249,31.88373093004424
ant,RSQ1PBFK,32.30305374786401,0.9311911884825028,100.98556856679184,18.077152932799855,30.202821479574016
ant,I2ZWSA2P,32.864492419704916,0.9335331205111831,97.07698036030314,18.029904706079694,34.703154912854096
ant,A6N5LGQ8,32.3189885651835,0.9315247755145553,100.3896663288496,17.922945272544734,31.337414053335085
ant,B9126ABW,33.19031017689784,0.9359248924018139,95.58774077265105,18.685035136427523,34.00719418205654
ant,3CCNMGA4,32.334980188888096,0.9320701873717616,98.9942302233048,17.73056262510089,32.85181026182896
ant,XND2UIN4,32.2599139971595,0.9315551765522554,99.40647383621055,17.996611582635285,31.179826113031325
ant,ACVKLDBL,32.361177206804705,0.931410761021856,99.46214684438529,17.994518265019785,30.96636649220925
ant,EAV4X3U9,32.86073232631295,0.9334303837510484,97.30528605165718,18.089314938538188,34.32467398745115
ant,FJL4VK44,33.1890705500194,0.9357814005951384,95.91055608579403,18.40319253493511,36.696448783588224
ant,LLZS4YT9,32.86031605798433,0.9336327839253554,96.79904943118127,18.064804441786855,34.762814115708814
ant,TE0RQTZR,32.27194117272294,0.9318429264263134,98.65407978193524,18.029957511524362,32.42714308110523
ant,QTFBHRQ8,32.340556103165355,0.9313894557715648,99.21124627153584,18.01667051654529,31.10315891771522
ant,1N0S5QGS,32.87221183691605,0.9335500562368934,97.07924967897779,17.863014456035728,35.21702602006726
ant,0DZYOGJN,32.35495099610937,0.9312262855358978,100.06815447262146,18.095670221052853,30.191227841220513
ant,1NV11OPK,32.2599139971595,0.9315551765522554,99.40647383621055,17.996611582635285,31.179826113031325
ant,IZN5MNV9,32.340556103165355,0.9313894557715648,99.21124627153584,18.01667051654529,31.10315891771522
