Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
referee,RWHGVZIC,20000,0,4,0,1.4,1.3,12,5,10
referee,ZP0O4GNW,576,0,4,0,1.4,1.3,12,5,40
referee,ANWRRDG9,5184,0,4,0,1.4,1.3,12,5,40
referee,NNYJH477,14016,0,4,0,1.4,1.3,12,5,40
referee,TN5U1M4X,20000,0,4,0,1.4,1.3,12,5,40
referee,X199V6TA,576,0,4,0,1.4,1.3,12,5,250
referee,CLXAM29Q,5184,0,4,0,1.4,1.3,12,5,250
referee,1J2I7QV5,14016,0,4,0,1.4,1.3,12,5,250
referee,4NCYQ1AY,20000,0,4,0,1.4,1.3,12,5,250
referee,XWYZAUQD,576,12,4,0,1.4,1.3,12,5,0
referee,0W3KPE97,5184,12,4,0,1.4,1.3,12,5,0
referee,59QOWSW8,14016,12,4,0,1.4,1.3,12,5,0
referee,LC226Z11,20000,12,4,0,1.4,1.3,12,5,0
referee,07UVOR9J,576,12,4,0,1.4,1.3,12,5,10
referee,5RNNP6LV,5184,12,4,0,1.4,1.3,12,5,10
referee,0P8R7ZSQ,14016,12,4,0,1.4,1.3,12,5,10
referee,9ZZHYFKQ,20000,12,4,0,1.4,1.3,12,5,10
referee,3I6H05YQ,576,12,4,0,1.4,1.3,12,5,40
referee,TV0ODAJX,5184,12,4,0,1.4,1.3,12,5,40
referee,9KZMGHI2,14016,12,4,0,1.4,1.3,12,5,40
referee,MYIF3T7Q,20000,12,4,0,1.4,1.3,12,5,40
referee,V140MV4F,576,12,4,0,1.4,1.3,12,5,250
referee,58CPDMRT,5184,12,4,0,1.4,1.3,12,5,250
referee,MYIJ6ULX,14016,12,4,0,1.4,1.3,12,5,250
referee,2A73L65E,20000,12,4,0,1.4,1.3,12,5,250
referee,0LO1OSTX,576,37,4,0,1.4,1.3,12,5,0
referee,AYXRAZ34,5184,37,4,0,1.4,1.3,12,5,0
referee,K67G784L,14016,37,4,0,1.4,1.3,12,5,0
referee,AJIY1BW3,20000,37,4,0,1.4,1.3,12,5,0
referee,ONF6DALK,576,37,4,0,1.4,1.3,12,5,10
referee,7WCQ2VI8,5184,37,4,0,1.4,1.3,12,5,10
referee,1SBND9K1,14016,37,4,0,1.4,1.3,12,5,10
referee,EBCAX8KD,20000,37,4,0,1.4,1.3,12,5,10
referee,PE19A3U4,576,37,4,0,1.4,1.3,12,5,40
referee,CDTLI13G,5184,37,4,0,1.4,1.3,12,5,40
referee,5F07D3G5,14016,37,4,0,1.4,1.3,12,5,40
referee,V0DFA0S8,20000,37,4,0,1.4,1.3,12,5,40
referee,66P5AQ1Y,576,37,4,0,1.4,1.3,12,5,250
referee,XBNHQX2M,5184,37,4,0,1.4,1.3,12,5,250
referee,WE9AO4P4,14016,37,4,0,1.4,1.3,12,5,250
referee,N8MAD53V,20000,37,4,0,1.4,1.3,12,5,250
referee,WVUSAFBO,576,50,4,0,1.4,1.3,12,5,0
referee,3NUE4TB8,5184,50,4,0,1.4,1.3,12,5,0
referee,3IASR4LD,14016,50,4,0,1.4,1.3,12,5,0
referee,XD0SGN1F,20000,50,4,0,1.4,1.3,12,5,0
referee,1O9AVY7R,576,50,4,0,1.4,1.3,12,5,10
referee,O8EJ8BCX,5184,50,4,0,1.4,1.3,12,5,10
referee,6C6IRAG0,14016,50,4,0,1.4,1.3,12,5,10
referee,2HDKDC45,20000,50,4,0,1.4,1.3,12,5,10
referee,DFAO7V84,576,50,4,0,1.4,1.3,12,5,40
referee,HH3OOH8K,5184,50,4,0,1.4,1.3,12,5,40
referee,N74XEKPX,14016,50,4,0,1.4,1.3,12,5,40
referee,Y65XXG7Y,20000,50,4,0,1.4,1.3,12,5,40
referee,4CZLSRV9,576,50,4,0,1.4,1.3,12,5,250
referee,UEC8GGKA,5184,50,4,0,1.4,1.3,12,5,250
referee,3D3S5JJY,14016,50,4,0,1.4,1.3,12,5,250
referee,BEPDU4M2,20000,50,4,0,1.4,1.3,12,5,250
referee,TTG3WGL7,576,0,4,0,1.4,1.3,16,5,0
referee,1HRC0PVY,5184,0,4,0,1.4,1.3,16,5,0
referee,ZYBC84D8,14016,0,4,0,1.4,1.3,16,5,0
referee,J5YRT21G,20000,0,4,0,1.4,1.3,16,5,0
referee,PD6NF36M,576,0,4,0,1.4,1.3,16,5,10
referee,ZDLH3X2W,5184,0,4,0,1.4,1.3,16,5,10
referee,1R6FGZAR,14016,0,4,0,1.4,1.3,16,5,10
referee,LV74P6BL,20000,0,4,0,1.4,1.3,16,5,10
referee,AOR4U1QS,576,0,4,0,1.4,1.3,16,5,40
referee,ZYEVJ7TB,5184,0,4,0,1.4,1.3,16,5,40
referee,P98GFWW2,14016,0,4,0,1.4,1.3,16,5,40
referee,5B3392KW,20000,0,4,0,1.4,1.3,16,5,40
referee,116QC5WK,576,0,4,0,1.4,1.3,16,5,250
referee,8XKHWL8B,5184,0,4,0,1.4,1.3,16,5,250
referee,M7J20C08,14016,0,4,0,1.4,1.3,16,5,250
referee,8WJ6GE5E,20000,0,4,0,1.4,1.3,16,5,250
referee,ATQK7W3C,576,12,4,0,1.4,1.3,16,5,0
referee,1XWZ1I8Z,5184,12,4,0,1.4,1.3,16,5,0
referee,HJL3TP1A,14016,12,4,0,1.4,1.3,16,5,0
referee,3I64376S,20000,12,4,0,1.4,1.3,16,5,0
referee,ZVPJX34D,576,12,4,0,1.4,1.3,16,5,10
referee,5V7JV14Y,5184,12,4,0,1.4,1.3,16,5,10
referee,P1SSXVYY,14016,12,4,0,1.4,1.3,16,5,10
referee,NKFFRTMS,20000,12,4,0,1.4,1.3,16,5,10
referee,BC2658IG,576,12,4,0,1.4,1.3,16,5,40
referee,Q96UFUIR,5184,12,4,0,1.4,1.3,16,5,40
referee,4ZZQOXX7,14016,12,4,0,1.4,1.3,16,5,40
referee,KHK915I0,20000,12,4,0,1.4,1.3,16,5,40
referee,WD5JMKU8,576,12,4,0,1.4,1.3,16,5,250
