Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,6JTQIAZ9,3072,21,4,0,1.4,1.3,16,5,0
ant,BL2GWV95,3072,21,4,0,1.4,1.3,16,5,62
ant,V0N0P6ED,3072,21,4,0,1.4,1.3,16,5,125
ant,ARBTO9DV,3072,21,4,0,1.4,1.3,16,5,187
ant,KF8HNF1V,3072,21,4,0,1.4,1.3,16,5,250
ant,N3I108Y4,3072,21,4,4,1.4,1.3,1,5,0
ant,OPSOJLN7,3072,21,4,4,1.4,1.3,1,5,62
ant,88H9OQD1,3072,21,4,4,1.4,1.3,1,5,125
ant,QKN58FD6,3072,21,4,4,1.4,1.3,1,5,187
ant,1P2BV53C,3072,21,4,4,1.4,1.3,1,5,250
ant,N16F6HRI,3072,21,4,4,1.4,1.3,4,5,0
ant,G27MECRS,3072,21,4,4,1.4,1.3,4,5,62
ant,O7WMBBZK,3072,21,4,4,1.4,1.3,4,5,125
ant,ZFTZN3JR,3072,21,4,4,1.4,1.3,4,5,187
ant,6NTUJFZY,3072,21,4,4,1.4,1.3,4,5,250
ant,4DBBUPHD,3072,21,4,4,1.4,1.3,8,5,0
ant,PTPBS9V6,3072,21,4,4,1.4,1.3,8,5,62
ant,RC1IWFLH,3072,21,4,4,1.4,1.3,8,5,125
ant,0YH4BDN6,3072,21,4,4,1.4,1.3,8,5,187
ant,IXHW1PJR,3072,21,4,4,1.4,1.3,8,5,250
ant,QBKHT6BY,3072,21,4,4,1.4,1.3,12,5,0
ant,DFQ97IZC,3072,21,4,4,1.4,1.3,12,5,62
ant,EZF6NOZ6,3072,21,4,4,1.4,1.3,12,5,125
ant,439ASD9A,3072,21,4,4,1.4,1.3,12,5,187
ant,2ZNU5BL9,3072,21,4,4,1.4,1.3,12,5,250
ant,4IFVPO16,3072,21,4,4,1.4,1.3,16,5,0
ant,CRL4NTSY,3072,21,4,4,1.4,1.3,16,5,62
ant,0ZSGGVCO,3072,21,4,4,1.4,1.3,16,5,125
ant,DJ58PY2D,3072,21,4,4,1.4,1.3,16,5,187
ant,LB8QFJC9,3072,21,4,4,1.4,1.3,16,5,250
ant,1ZTUPZSY,3072,21,4,8,1.4,1.3,1,5,0
ant,MT9O58T2,3072,21,4,8,1.4,1.3,1,5,62
ant,21J25K4U,3072,21,4,8,1.4,1.3,1,5,125
ant,RU3HILZH,3072,21,4,8,1.4,1.3,1,5,187
ant,WTEBA5GP,3072,21,4,8,1.4,1.3,1,5,250
ant,NLBKS2R3,3072,21,4,8,1.4,1.3,4,5,0
ant,DBL7MXSJ,3072,21,4,8,1.4,1.3,4,5,62
ant,QHCB3RSX,3072,21,4,8,1.4,1.3,4,5,125
ant,9I6WX22G,3072,21,4,8,1.4,1.3,4,5,187
ant,ZWSCV0G7,3072,21,4,8,1.4,1.3,4,5,250
ant,1HZ4522A,3072,21,4,8,1.4,1.3,8,5,0
ant,I4RJQOST,3072,21,4,8,1.4,1.3,8,5,62
ant,EFZK4U0D,3072,21,4,8,1.4,1.3,8,5,125
ant,WXX4V23Z,3072,21,4,8,1.4,1.3,8,5,187
ant,8AFGDC74,3072,21,4,8,1.4,1.3,8,5,250
ant,L7OHHTR6,3072,21,4,8,1.4,1.3,12,5,0
ant,TQ7XUUKM,3072,21,4,8,1.4,1.3,12,5,62
ant,TEI9IBK0,3072,21,4,8,1.4,1.3,12,5,125
ant,0Z8IXNET,3072,21,4,8,1.4,1.3,12,5,187
ant,C2CNMHNZ,3072,21,4,8,1.4,1.3,12,5,250
ant,60SJMT87,3072,21,4,8,1.4,1.3,16,5,0
ant,T228DMR5,3072,21,4,8,1.4,1.3,16,5,62
ant,7VXNKARY,3072,21,4,8,1.4,1.3,16,5,125
ant,VVL862HW,3072,21,4,8,1.4,1.3,16,5,187
ant,0P965SKA,3072,21,4,8,1.4,1.3,16,5,250
ant,6T0YA3L3,3072,21,4,12,1.4,1.3,1,5,0
ant,ZDBH3SAN,3072,21,4,12,1.4,1.3,1,5,62
