Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,QG08JADS,576,21,4,16,1.4,1.3,16,5,62,32.352792469577885,0.9320739602568138,99.02677742172628,17.71652241307065,32.50494868167704
ant,3OA3U7ED,576,21,4,16,1.4,1.3,16,5,125,32.28805225878258,0.931977781490307,100.21009501945322,18.04357441033154,32.44834233085859
ant,JVHNK53Y,576,21,4,16,1.4,1.3,16,5,187,32.26592026799708,0.931753015340264,99.19290921573648,17.91341153206757,31.94789805353893
ant,T0P6P87B,576,21,4,16,1.4,1.3,16,5,250,32.26592026799708,0.931753015340264,99.19290921573648,17.91341153206757,31.94789805353893
ant,FJL4VK44,1536,21,4,0,1.4,1.3,1,5,0,33.1890705500194,0.9357814005951384,95.91055608579404,18.40319253493511,36.696448783588224
ant,B9126ABW,1536,21,4,0,1.4,1.3,1,5,62,33.19031017689784,0.935924892401814,95.58774077265105,18.685035136427523,34.00719418205654
ant,06AB9XA1,1536,21,4,0,1.4,1.3,1,5,125,33.22002411014015,0.9360554793580848,95.4708277286408,18.636140204244537,33.78011519148286
ant,SDWWUKHE,1536,21,4,0,1.4,1.3,1,5,187,33.228846904117354,0.9360866223401691,95.470950981493,18.651048943596223,33.66010394021845
ant,E7VMBBGW,1536,21,4,0,1.4,1.3,1,5,250,33.23876492602181,0.9361275019337288,95.4570845665576,18.651477751180707,33.42646691778251
ant,XBNWQG8Y,1536,21,4,0,1.4,1.3,4,5,0,33.1865939132069,0.9357772582205968,95.9358171598604,18.3904562773143,36.74657425548364
ant,0XKIGIUF,1536,21,4,0,1.4,1.3,4,5,62,33.18422496949544,0.9359088975991776,95.61270475962206,18.694147578613787,34.04557756933313
ant,XQZ61EZY,1536,21,4,0,1.4,1.3,4,5,125,33.217831510401155,0.9360529818938146,95.50152540130176,18.60015480986608,33.67129596312375
ant,ODNNB6BA,1536,21,4,0,1.4,1.3,4,5,187,33.23426024271158,0.936115305222089,95.45915797051596,18.61187094893525,33.566203658701234
ant,2NKBBUTO,1536,21,4,0,1.4,1.3,4,5,250,33.23673378987417,0.9361318177844754,95.4384956894732,18.66732182598663,33.435452931762065
ant,CXS8W4AI,1536,21,4,0,1.4,1.3,8,5,0,33.1967005256595,0.9358078570508244,95.83080215963,18.30280140676426,36.72795828854896
ant,5604C6UP,1536,21,4,0,1.4,1.3,8,5,62,33.18518359933101,0.9359047670862568,95.62991025653952,18.655600884287747,34.206795590565086
ant,14TM68PK,1536,21,4,0,1.4,1.3,8,5,125,33.21922849641101,0.9360555078259748,95.53347486141824,18.52092135733885,33.82731935391033
ant,J4MOL0WA,1536,21,4,0,1.4,1.3,8,5,187,33.23396032049294,0.936119431286902,95.47556697367718,18.532751211300376,33.67888947595623
ant,AZFRS5QZ,1536,21,4,0,1.4,1.3,8,5,250,33.22997629534149,0.9360916122275206,95.39690680231168,18.644532497695483,33.62943287219405
ant,WDXZN1U0,1536,21,4,0,1.4,1.3,12,5,0,33.20952114952897,0.9358506938118246,95.77970767425414,18.338062909568425,36.60214934534389
ant,CF5YW91S,1536,21,4,0,1.4,1.3,12,5,62,33.192127213744435,0.9359301109219073,95.6774156177062,18.630459402194223,34.05090886694879
ant,IFSW7IY1,1536,21,4,0,1.4,1.3,12,5,125,33.21178031122928,0.9360407347702862,95.50045000930922,18.523895220037133,33.85768441039904
ant,ZF8NUK8O,1536,21,4,0,1.4,1.3,12,5,187,33.23162146111599,0.9360965834328192,95.44844553395257,18.59733054617745,33.64160729455126
ant,ESX04838,1536,21,4,0,1.4,1.3,12,5,250,33.23548898870148,0.9361228299378164,95.41912286800942,18.64821810943661,33.47834903282524
ant,G8B9E4AQ,1536,21,4,0,1.4,1.3,16,5,0,33.19136576619134,0.9357896055748214,95.8249375038388,18.386422761764827,36.66407616473026
ant,OB76KFY7,1536,21,4,0,1.4,1.3,16,5,62,33.1852683224111,0.935886597158897,95.65392802576626,18.63146864791179,34.31447705501756
ant,AKXYV0W5,1536,21,4,0,1.4,1.3,16,5,125,33.218386115720925,0.936057559886382,95.50764653535946,18.577572986059,33.70075865790415
ant,Y4XGWQNJ,1536,21,4,0,1.4,1.3,16,5,187,33.23548959038515,0.9361133993561588,95.36601608206075,18.603789639223624,33.55710608215594
ant,6R1EZ4C2,1536,21,4,0,1.4,1.3,16,5,250,33.22981359326278,0.9360935130522618,95.44261322990565,18.655863594856747,33.60992627861559
ant,KNT0XZJ4,1536,21,4,4,1.4,1.3,1,5,0,33.27828019642759,0.93624108525651,95.26721265153785,18.68625897533193,25.22086255467502
ant,4JA1E3MC,1536,21,4,4,1.4,1.3,1,5,62,33.26752578876576,0.9352331214876316,95.91554184013384,18.543641447199462,24.755408772086675
ant,WFQMDA5T,1536,21,4,4,1.4,1.3,1,5,125,33.25590188640092,0.935258470364471,97.43382300136076,18.54771211753202,25.053868574253023
