Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF,Compression Ratio (%)
referee,NS76YUCI,576,21,4,12,1.4,1.0,1,5,40,34.47108691271749,0.901930320560932,102.30017795741703,21.61171117450012,6.532154136915008,86.76808414949924
referee,GVAPWIAG,576,21,4,12,1.4,1.5,1,5,40,34.457241784058425,0.9016846749186516,102.13401656539348,21.66466957545733,6.534252170242463,86.71808546109567
referee,HHWOXDMW,576,21,4,12,1.4,2.0,1,5,40,34.46430426519227,0.9018764978647232,101.87965763406638,21.613335280168776,6.537108041907113,86.78205344170807
referee,W51KOST1,576,21,4,12,1.4,0.0,4,5,40,34.44809263044463,0.9009518593549728,102.21486751904898,21.445167124931928,6.737570880059674,86.80097203518365
referee,ID6SK3UH,576,21,4,12,1.4,0.5,4,5,40,34.4449937498949,0.9007783249020576,102.00533196373452,21.46300993508495,6.711056728021558,86.77876022847694
referee,C2DQN7XO,576,21,4,12,1.4,1.0,4,5,40,34.44178456314375,0.9006168293952942,101.77152765842008,21.48079297052258,6.741804181041553,86.82045319291561
referee,B9MPI0OA,576,21,4,12,1.4,1.5,4,5,40,34.4428914802059,0.9004061374068261,102.4508029357156,21.44375668762983,6.751153117986987,86.80844339418404
referee,5GY7TJZL,576,21,4,12,1.4,2.0,4,5,40,34.44822553653545,0.9005422312021255,102.8072288941936,21.47947792525054,6.727245559006242,86.75757873608245
referee,BD7Z3IKV,576,21,4,12,1.4,0.0,8,5,40,34.44394123631904,0.9004331952333451,102.32375981264472,21.426987809103533,6.772504326217091,86.79197732802837
referee,99QDLM8D,576,21,4,12,1.4,0.5,8,5,40,34.44965973868814,0.9004925891757012,102.1020849416474,21.405107759169503,6.74992085235966,86.83830354639875
referee,DG4TCNEQ,576,21,4,12,1.4,1.0,8,5,40,34.45838379182745,0.9008737224340438,102.62802733772185,21.43897747265716,6.76475386389471,86.7555497121915
referee,AW7C4L6D,576,21,4,12,1.4,1.5,8,5,40,34.44523473421205,0.9002457985281944,102.35432890625005,21.42979923383644,6.779577308591952,86.7578821415241
referee,6AXZIAWW,576,21,4,12,1.4,2.0,8,5,40,34.44338493342483,0.9004425728321075,101.96620059437691,21.40489827644876,6.766291355548433,86.77592212340826
referee,NUJ6IP1M,576,21,4,12,1.4,0.0,12,5,40,34.45956475387729,0.900898824632168,102.20592220052086,21.457472243617094,6.738024245510071,86.79621236231793
referee,LCMDMK1H,576,21,4,12,1.4,0.5,12,5,40,34.442969763770385,0.9003501790761947,102.1298523124036,21.445244215350645,6.770074614737754,86.81177453309537
referee,62ES3XVZ,576,21,4,12,1.4,1.0,12,5,40,34.44607457398557,0.9003969338536263,102.1454356614101,21.468051126665227,6.778947277475141,86.86478831307522
referee,V9EG6VIB,576,21,4,12,1.4,1.5,12,5,40,34.44309328811857,0.9004150000214577,102.35040322265628,21.400471615602008,6.788822311055004,86.77041025788513
referee,RK98KYNF,576,21,4,12,1.4,2.0,12,5,40,34.45287693958799,0.9007266172766686,102.8607453076775,21.426094637244404,6.776621811484742,86.67160121905778
referee,4BT23SZK,576,21,4,12,1.4,0.0,16,5,40,34.44610221173084,0.9002975207567215,102.95404411530669,21.402372554495123,6.799881202645492,86.7662384330626
referee,Z3P5SBD2,576,21,4,12,1.4,0.5,16,5,40,34.46283521721691,0.9009694495797156,102.5732149739584,21.455813575641194,6.753667843196247,86.7723697513624
referee,FCHO8260,576,21,4,12,1.4,1.0,16,5,40,34.455658621330656,0.9006874680519104,102.64574660011571,21.434833539511647,6.77712925006477,86.8119262358162
referee,AS5HJO4L,576,21,4,12,1.4,1.5,16,5,40,34.45380672243068,0.9007064282894135,102.5372752580054,21.439819285147586,6.7645252757072925,86.78797616876675
referee,57OKXDQN,576,21,4,12,1.4,2.0,16,5,40,34.4558154979213,0.9009692949056626,102.55087855058842,21.44278682573962,6.764712685012767,86.72310429277613
referee,0Y21KH92,576,21,4,16,1.4,0.0,1,5,40,34.46569253675578,0.9020595210790634,102.5733257161458,21.623260951331638,6.5226411855313575,86.66771383683678
referee,LAES22JI,576,21,4,16,1.4,0.5,1,5,40,34.459786431926226,0.9018029388785362,101.98356199122296,21.65210103758784,6.512890215158302,86.71383146396602
