Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,XCK74M8D,576,21,4,4,1.4,1.3,16,5,62,32.25115761729882,0.9312657224598216,99.99339754257264,17.786760133877642,34.263971372939594
ant,81PLDYG3,576,21,4,4,1.4,1.3,16,5,125,32.27983032689491,0.93176553972918,100.06545350864306,17.840069713615264,34.89884461433476
ant,60RBDGRJ,576,21,4,4,1.4,1.3,16,5,187,32.30620775301078,0.9314218379964876,101.12636159720304,17.986867714208316,34.859888641021975
ant,O05PK6TV,576,21,4,4,1.4,1.3,16,5,250,32.24270428186748,0.931374429470271,101.08350062596926,17.853137675962365,34.67168471289105
ant,U55B27G8,576,21,4,8,1.4,1.3,1,5,0,32.849048519973614,0.933343712370194,97.27635325134544,18.09178048998636,33.98123322032582
ant,XPAWSQWK,576,21,4,8,1.4,1.3,1,5,62,32.40683160414493,0.931258533724505,100.55262465162608,17.988744404595874,31.843461057997423
ant,S08L6WQ9,576,21,4,8,1.4,1.3,1,5,125,32.301467750020414,0.9315124604832472,101.46807421107228,18.027929469748194,32.005405514556784
ant,6JJIR39T,576,21,4,8,1.4,1.3,1,5,187,32.29247423971805,0.9309720649054988,101.76797395761352,18.07716294037402,31.031425328854464
ant,FA1996IL,576,21,4,8,1.4,1.3,1,5,250,32.29247423971805,0.9309720649054988,101.76797395761352,18.07716294037402,31.031425328854464
ant,P218JU37,576,21,4,8,1.4,1.3,4,5,0,32.85730848140918,0.9334359240176072,97.7336633647926,18.224007773275705,33.8163333211227
ant,W6HPQX1P,576,21,4,8,1.4,1.3,4,5,62,32.34792075568176,0.9311211079507324,100.5819212986956,18.021967459874386,31.25339689026764
ant,FPWBFKDI,576,21,4,8,1.4,1.3,4,5,125,32.27279113891181,0.9316439720528636,100.79569383742934,17.984426449196267,32.39292959299295
ant,8F1ET2F4,576,21,4,8,1.4,1.3,4,5,187,32.285998156777936,0.9312197506724306,101.68627274627056,17.980395778509802,31.362443856331385
ant,F6BQ6MPZ,576,21,4,8,1.4,1.3,4,5,250,32.285998156777936,0.9312197506724306,101.68627274627056,17.980395778509802,31.362443856331385
ant,HHYD0G5Y,576,21,4,8,1.4,1.3,8,5,0,32.85235985538712,0.9335118991818594,97.1466509106666,17.962681938202362,34.329913385692706
ant,AFQK8R9L,576,21,4,8,1.4,1.3,8,5,62,32.358254904955174,0.9316607529844216,100.5982446455512,17.863526190653154,33.0263824941588
ant,TFX3SD6H,576,21,4,8,1.4,1.3,8,5,125,32.24501051069514,0.9318179440735584,100.9889765533828,18.18695180916295,32.24969919073352
ant,ZU8WAQEM,576,21,4,8,1.4,1.3,8,5,187,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,MG3ABK0V,576,21,4,8,1.4,1.3,8,5,250,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,YFKN3077,576,21,4,8,1.4,1.3,12,5,0,32.855610543367426,0.9335513942277254,97.1478712425048,17.782376346192216,34.71165454036061
ant,85N71XLW,576,21,4,8,1.4,1.3,12,5,62,32.32010982125588,0.9318395992416648,100.29413671299176,17.882168068488603,32.86003616934568
ant,6VN8C5MF,576,21,4,8,1.4,1.3,12,5,125,32.25967992746337,0.931844231797688,101.03771061623796,17.868304113370886,32.71163041400266
ant,TT1YPMSX,576,21,4,8,1.4,1.3,12,5,187,32.280509944099464,0.9317449194874928,101.70359776037816,17.987815957794073,32.397007563699084
ant,W6VUV8AT,576,21,4,8,1.4,1.3,12,5,250,32.280509944099464,0.9317449194874928,101.70359776037816,17.987815957794073,32.397007563699084
ant,VMOUU00F,576,21,4,8,1.4,1.3,16,5,0,32.84978926920676,0.9336018618659594,96.89344339140524,18.178425498664325,34.12903814077804
ant,EY8HGB24,576,21,4,8,1.4,1.3,16,5,62,32.30332957970795,0.931835482962689,100.02072282659807,18.14997071242985,32.51238499206896
ant,1YMUXYX3,576,21,4,8,1.4,1.3,16,5,125,32.24489252042936,0.9320091504362684,100.78480612706149,17.982998824273565,32.932203187349934
ant,2ZRUOH41,576,21,4,8,1.4,1.3,16,5,187,32.188390638739044,0.9317809242514236,101.76467760181536,17.983005647360862,32.90235707813172
ant,8Z3ZJR4J,576,21,4,8,1.4,1.3,16,5,250,32.188390638739044,0.9317809242514236,101.76467760181536,17.983005647360862,32.90235707813172
ant,MDU09Z25,576,21,4,12,1.4,1.3,1,5,0,32.86045766336037,0.9334333396669644,97.31512890553024,18.09785961523611,34.327587740490976
ant,SJ8XNGDX,576,21,4,12,1.4,1.3,1,5,62,32.36345187850067,0.931183454112627,101.2118659883453,18.01321716565217,30.98301900421857
ant,GCI0LP0W,576,21,4,12,1.4,1.3,1,5,125,32.35477503956081,0.9316411765653696,100.20423473393072,18.04676904478768,32.14277851483934
ant,S10SE3UJ,576,21,4,12,1.4,1.3,1,5,187,32.261252538065634,0.9312379303856276,99.34008673237786,17.974743250837506,31.6564956403102
ant,YS79LKRI,576,21,4,12,1.4,1.3,1,5,250,32.261252538065634,0.9312379303856276,99.34008673237786,17.974743250837506,31.6564956403102
ant,AMPYESSB,576,21,4,12,1.4,1.3,4,5,0,32.86894951595046,0.9335372077291878,97.0194513543394,18.0678793760168,34.797308965797406
ant,ZU6IICJH,576,21,4,12,1.4,1.3,4,5,62,32.37945026193272,0.9315033027188696,100.96655281055176,17.954322277913395,31.442365068681244
ant,6LJLKTVZ,576,21,4,12,1.4,1.3,4,5,125,32.30870974086411,0.9315622935247658,99.6769707860197,18.03074485393001,31.854806393936336
ant,2B0RKNKO,576,21,4,12,1.4,1.3,4,5,187,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,P5FLCIQX,576,21,4,12,1.4,1.3,4,5,250,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,76HXEM9L,576,21,4,12,1.4,1.3,8,5,0,32.86895522651522,0.9335060579266714,97.41597644133692,17.882687803881602,34.770675206877186
ant,4ZNL6R2M,576,21,4,12,1.4,1.3,8,5,62,32.35882052829795,0.9313011830718956,100.57085221678066,17.96394057548469,30.500388202781792
ant,YOII5J45,576,21,4,12,1.4,1.3,8,5,125,32.29549085223135,0.9315709833482012,99.77780065720778,18.00631160517392,31.88358030263721
ant,ED43XSXO,576,21,4,12,1.4,1.3,8,5,187,32.28110990509096,0.9315797075703368,99.42982228014058,18.070245451098582,31.634882329929457
ant,D6M1S29S,576,21,4,12,1.4,1.3,8,5,250,32.28110990509096,0.9315797075703368,99.42982228014058,18.070245451098582,31.634882329929457
ant,GGN50G4V,576,21,4,12,1.4,1.3,12,5,0,32.863171977549264,0.9336421608331784,97.25825237119768,18.07294223175412,34.74781399844839
ant,1ZNU86BO,576,21,4,12,1.4,1.3,12,5,62,32.30855906108204,0.9319046806933274,101.00598837530136,17.85099303182272,32.15958906576675
ant,NS68LYKY,576,21,4,12,1.4,1.3,12,5,125,32.30073108214007,0.9317328639291412,99.71703635924356,17.893125283945544,32.21664277241596
ant,SZGK4V16,576,21,4,12,1.4,1.3,12,5,187,32.27046621031762,0.9319496409810004,98.9458080114474,18.060051385618134,33.03504378168517
ant,WUTOKPV3,576,21,4,12,1.4,1.3,12,5,250,32.27043479337489,0.9319525114932464,98.94390450093285,18.067095513450177,33.04970324206177
ant,3AF2A56W,576,21,4,12,1.4,1.3,16,5,0,32.86891674704832,0.9335981693433884,96.88256898018588,18.32981730941705,34.44035909063823
ant,S2LN194R,576,21,4,12,1.4,1.3,16,5,62,32.335444668951354,0.9319599952863816,100.37578765484874,17.91693900112261,32.00066423926134
ant,ULPQUWDZ,576,21,4,12,1.4,1.3,16,5,125,32.25165674226915,0.931581075215221,100.22922167111012,17.907951998520364,31.76153348389885
ant,V91GUXGW,576,21,4,12,1.4,1.3,16,5,187,32.27194117272294,0.9318429264263134,98.65407978193524,18.02995751152436,32.42714308110523
ant,75YMP7EG,576,21,4,12,1.4,1.3,16,5,250,32.27194117272294,0.9318429264263134,98.65407978193524,18.02995751152436,32.42714308110523
ant,KN35EVRZ,576,21,4,16,1.4,1.3,1,5,0,32.866267315066985,0.9334162876973696,97.4598962855956,17.990053802603715,34.3428854038996
ant,FTFTKNIN,576,21,4,16,1.4,1.3,1,5,62,32.35495099610937,0.9312262855358978,100.06815447262146,18.095670221052853,30.191227841220517
ant,X9R7447C,576,21,4,16,1.4,1.3,1,5,125,32.30305374786401,0.9311911884825028,100.98556856679184,18.07715293279985,30.202821479574016
ant,HM989ARU,576,21,4,16,1.4,1.3,1,5,187,32.33913454792489,0.9313807001161338,99.2162758857142,18.04779575671355,31.1066036930915
ant,BE5JPX2D,576,21,4,16,1.4,1.3,1,5,250,32.340556103165355,0.9313894557715648,99.21124627153584,18.01667051654529,31.10315891771522
ant,74UCGNKF,576,21,4,16,1.4,1.3,4,5,0,32.86774005914578,0.9334889009817324,97.14805489935544,18.02977595732103,34.70469212349581
ant,RTZO6TTK,576,21,4,16,1.4,1.3,4,5,62,32.35984954547323,0.9313951623973562,99.4762019270449,17.94972566410944,31.00822034736276
ant,KNKBGI4U,576,21,4,16,1.4,1.3,4,5,125,32.3189885651835,0.9315247755145551,100.3896663288496,17.922945272544734,31.337414053335085
ant,6Z1HXT6B,576,21,4,16,1.4,1.3,4,5,187,32.28879045022609,0.9314916018229812,99.33901520200882,18.133375373962284,31.816366452911083
ant,5R2SQIBJ,576,21,4,16,1.4,1.3,4,5,250,32.28879045022609,0.9314916018229812,99.33901520200882,18.133375373962284,31.816366452911083
ant,AW9BCFYX,576,21,4,16,1.4,1.3,8,5,0,32.85985540418213,0.9335167823146232,97.0769112553552,17.991754947594586,34.715448585911794
ant,YC8CX95R,576,21,4,16,1.4,1.3,8,5,62,32.34293325790905,0.9316021203994752,99.50564154775884,18.176530190971164,31.234806991857624
ant,2E3FRYO4,576,21,4,16,1.4,1.3,8,5,125,32.28583416238575,0.9317079841794066,100.16218625957788,17.97121585388953,31.67950081048386
ant,YMWBFV2A,576,21,4,16,1.4,1.3,8,5,187,32.25636208051312,0.9314202707798328,99.4799428566081,17.992521867363653,31.52514118689569
ant,ANSS18U5,576,21,4,16,1.4,1.3,8,5,250,32.25636208051312,0.9314202707798328,99.4799428566081,17.992521867363653,31.52514118689569
ant,E7UEEIF6,576,21,4,16,1.4,1.3,12,5,0,32.86410449759464,0.9335461582117413,97.2933447790465,17.962434228750684,34.765096373640574
ant,04MYPJ2V,576,21,4,16,1.4,1.3,12,5,62,32.334980188888096,0.9320701873717616,98.9942302233048,17.73056262510089,32.85181026182896
ant,8XFAXUCX,576,21,4,16,1.4,1.3,12,5,125,32.30980100660217,0.9318295868475046,100.12147793776104,18.15421755307425,31.881442994522583
ant,T8EVQTUD,576,21,4,16,1.4,1.3,12,5,187,32.25839738511696,0.9315409372695048,99.39958606850008,17.98206685265991,31.19129553713205
ant,834CX1JA,576,21,4,16,1.4,1.3,12,5,250,32.2599139971595,0.9315551765522554,99.40647383621057,17.996611582635285,31.179826113031325
ant,GG2DD975,576,21,4,16,1.4,1.3,16,5,0,32.86454806871989,0.9337307048674248,96.806158491877,18.19169805205397,34.73585094128297
ant,EN9IDOCY,576,21,4,16,1.4,1.3,16,5,62,32.352792469577885,0.9320739602568138,99.02677742172628,17.71652241307065,32.50494868167704
ant,Z7B4RT15,576,21,4,16,1.4,1.3,16,5,125,32.28805891463601,0.931978145048986,100.20746491668778,18.04357441033154,32.448738763024224
ant,8TC4FBLY,576,21,4,16,1.4,1.3,16,5,187,32.26590695907074,0.9317525752741306,99.19237634287089,17.92603879069165,31.949055097160684
ant,ZHK386PC,576,21,4,16,1.4,1.3,16,5,250,32.26587103923215,0.931751933263902,99.1926194943972,17.92541125175088,31.94953890262415
ant,VXXH7X6V,1536,21,4,0,1.4,1.3,1,5,0,33.18794711472465,0.93576670167458,95.97871221751004,18.39610659270932,36.609256542023374
ant,NZOVL7XA,1536,21,4,0,1.4,1.3,1,5,62,33.18667735813576,0.9359109425426122,95.61688064787953,18.64158493608579,34.018854695867056
ant,PRFUFGQU,1536,21,4,0,1.4,1.3,1,5,125,33.22215507691826,0.9360650905329196,95.4552956919204,18.624543069048062,33.66091697429829
ant,CSHM05E0,1536,21,4,0,1.4,1.3,1,5,187,33.23747389251312,0.9361224147810864,95.48164076055868,18.70217515519918,33.49424383997108
ant,M3AUYASP,1536,21,4,0,1.4,1.3,1,5,250,33.24054260756554,0.9361374662883246,95.46502630318706,18.6927283423555,33.489591818596004
ant,G3K5H7YJ,1536,21,4,0,1.4,1.3,4,5,0,33.1899893178514,0.9357844208603474,95.7646623700556,18.33413228709791,36.94511297738068
ant,8ILLWQ9C,1536,21,4,0,1.4,1.3,4,5,62,33.1848669236506,0.9359024644491092,95.66390830497402,18.665206707993768,34.24559531030748
ant,3DEE77UW,1536,21,4,0,1.4,1.3,4,5,125,33.22198949571286,0.9360642273034624,95.46230122055624,18.59790851444076,33.5500125681738
ant,Z4ELE37J,1536,21,4,0,1.4,1.3,4,5,187,33.24084361042602,0.9361433929471829,95.41946893258437,18.69733156794547,33.34595545368685
ant,CF5D7UPF,1536,21,4,0,1.4,1.3,4,5,250,33.228456297915955,0.9360872050422934,95.55122148468686,18.668054821084816,33.81237420469591
ant,FXRIBQGU,1536,21,4,0,1.4,1.3,8,5,0,33.19252674636774,0.9357973191868606,95.8612771429312,18.380640899997285,36.75763005590635
ant,PRU6F4SI,1536,21,4,0,1.4,1.3,8,5,62,33.1952025049959,0.935942530632019,95.62152069993397,18.63940435179923,34.05588871396514
ant,96PD1W91,1536,21,4,0,1.4,1.3,8,5,125,33.21672400890193,0.9360417661382192,95.49652067834056,18.52676533597539,33.80282997950932
ant,AOL44HKZ,1536,21,4,0,1.4,1.3,8,5,187,33.23619667983606,0.9361269509614404,95.52419734612047,18.72203317547958,33.48517214358533
ant,NVUXPX0T,1536,21,4,0,1.4,1.3,8,5,250,33.23488304231438,0.9361156951728744,95.4481157724111,18.690843624299436,33.61388186429914
ant,VGR4M4RG,1536,21,4,0,1.4,1.3,12,5,0,33.188669571082826,0.9357846755886552,95.7822853889791,18.347673166375078,36.85793559506544
ant,GQJRKYKR,1536,21,4,0,1.4,1.3,12,5,62,33.1901954600012,0.9359224385290004,95.67388166109076,18.647444155996823,34.1422151497707
ant,AYTGBMZK,1536,21,4,0,1.4,1.3,12,5,125,33.222017490602816,0.9360683130387644,95.51114862488286,18.591526275600405,33.675569621575335
ant,SU1G6ACN,1536,21,4,0,1.4,1.3,12,5,187,33.23044546433876,0.936097305805529,95.53000147794975,18.624695109417846,33.61308170010388
ant,G5VX8OHC,1536,21,4,0,1.4,1.3,12,5,250,33.23634206144685,0.9361218409751778,95.47719483216636,18.600875650488398,33.58655715879756
ant,ISN80FB7,1536,21,4,0,1.4,1.3,16,5,0,33.18898654522794,0.9357792008575516,95.8963657635338,18.384472568988887,36.61858641015522
ant,D4N4G3SK,1536,21,4,0,1.4,1.3,16,5,62,33.19018798975516,0.935919868115762,95.64834171997842,18.668439639322308,34.17128686684571
ant,2UJ8JOQK,1536,21,4,0,1.4,1.3,16,5,125,33.2172904578681,0.936041756352382,95.5142718062369,18.5168020495559,33.81344891115221
ant,HKQ7Y3H5,1536,21,4,0,1.4,1.3,16,5,187,33.22157167557688,0.9360613004485172,95.41757378112328,18.62385025619672,33.81405916938261
ant,TTR2B7H6,1536,21,4,0,1.4,1.3,16,5,250,33.22861680177111,0.9360906383884486,95.4986258558193,18.668674211553377,33.64041296454424
ant,6N33FCPL,1536,21,4,4,1.4,1.3,1,5,0,33.27738959793952,0.9362282183632922,95.18304200808258,18.679459705624968,25.164134658809846
ant,509NNNTT,1536,21,4,4,1.4,1.3,1,5,62,33.267629207410295,0.935233815688992,95.9225171067886,18.547359778537803,24.755810149705574
ant,BARY9PI6,1536,21,4,4,1.4,1.3,1,5,125,33.25582727130523,0.9352594273007332,97.42434914067768,18.53121813923492,25.05657554492024
ant,EWYQKO1M,1536,21,4,4,1.4,1.3,1,5,187,33.25335028677262,0.9351820678853277,97.07584180515248,18.513636825733556,25.079011660572576
ant,V3B8I901,1536,21,4,4,1.4,1.3,1,5,250,33.25172698389995,0.9351725696924312,97.15728302329978,18.50262765134715,24.967174231696557
ant,0GZT1O62,1536,21,4,4,1.4,1.3,4,5,0,33.2977421216838,0.9362694134759666,94.84665873948154,18.65071531053448,25.67891432310073
ant,WCOEQCRV,1536,21,4,4,1.4,1.3,4,5,62,33.26513964052279,0.9353416449394986,95.71892995117967,18.494299913378125,25.0168181289222
ant,IQEYV59E,1536,21,4,4,1.4,1.3,4,5,125,33.257164839064195,0.9352995575363956,96.93314007580736,18.483650405933684,25.44164002315629
ant,95STJTOF,1536,21,4,4,1.4,1.3,4,5,187,33.25070016568102,0.9352934476154954,96.83628470422768,18.45109236274917,25.34246580377409
ant,V51JK31E,1536,21,4,4,1.4,1.3,4,5,250,33.250519463480714,0.9352948523279446,96.7572303989313,18.450800720499466,25.1921647906726
ant,RCHUNUAT,1536,21,4,4,1.4,1.3,8,5,0,33.27198639700838,0.9363405588847488,94.92758291514068,18.82716329284829,25.299217756026906
ant,T4R3XWN9,1536,21,4,4,1.4,1.3,8,5,62,33.262629097496,0.935400248463474,95.32121102747256,18.52998169746987,25.06748094709236
ant,W5KHIDI6,1536,21,4,4,1.4,1.3,8,5,125,33.25562917908568,0.9353609099910034,96.73103151056064,18.31428750115717,25.4732417522194
ant,QXE0QZS8,1536,21,4,4,1.4,1.3,8,5,187,33.25472550534281,0.9353585931199108,96.38394554762836,18.38216147649165,25.4613098271754
ant,N6HT4V8Q,1536,21,4,4,1.4,1.3,8,5,250,33.25309666071728,0.9353529905798424,96.64386851429576,18.64330670295608,25.27492231645146
ant,BYC2A7N4,1536,21,4,4,1.4,1.3,12,5,0,33.283371751691206,0.9363537596825936,94.96478308328145,18.881398260347574,25.482073756980085
ant,QABFEH6G,1536,21,4,4,1.4,1.3,12,5,62,33.26270216241546,0.93544739484787,95.12000033109916,18.3484732235926,25.193101843165348
ant,Q3NQ897P,1536,21,4,4,1.4,1.3,12,5,125,33.24977512091966,0.9353920882614096,96.46370900009016,18.462908077741236,25.383386175591845
ant,7XEPO4AP,1536,21,4,4,1.4,1.3,12,5,187,33.24744841875861,0.9353920221328736,95.992094301592,18.547172747540404,25.410335512943927
ant,K6GQ65VQ,1536,21,4,4,1.4,1.3,12,5,250,33.25036621499996,0.935366968906934,96.04198247165984,18.45208732396817,25.415174886420527
