Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
misato,VN80P9LL,12750,37,4,0,1.4,1.3,3,5,40,0
misato,HM0068A5,14779,37,4,0,1.4,1.3,3,5,40,0
misato,8QP3C627,16808,37,4,0,1.4,1.3,3,5,40,0
misato,0TTHZNYN,20000,37,4,0,1.4,1.3,3,5,40,0
misato,EJC6MQ7S,576,50,4,0,1.4,1.3,3,5,40,0
misato,4XBP2PDK,2605,50,4,0,1.4,1.3,3,5,40,0
misato,4HEWFGU5,4634,50,4,0,1.4,1.3,3,5,40,0
misato,OXZV5TI8,6663,50,4,0,1.4,1.3,3,5,40,0
misato,8ZX6U5W2,8692,50,4,0,1.4,1.3,3,5,40,0
misato,UDJV75FG,10721,50,4,0,1.4,1.3,3,5,40,0
misato,M8KHQXDZ,12750,50,4,0,1.4,1.3,3,5,40,0
misato,8QTQQ6WJ,14779,50,4,0,1.4,1.3,3,5,40,0
misato,TZ6PM3UU,16808,50,4,0,1.4,1.3,3,5,40,0
misato,1RM7J97T,20000,50,4,0,1.4,1.3,3,5,40,0
duck,Z7MQ1JVJ,576,0,4,0,1.4,1.3,3,5,40,0
duck,AFD7TJP2,2605,0,4,0,1.4,1.3,3,5,40,0
duck,GKPLAL9D,4634,0,4,0,1.4,1.3,3,5,40,0
duck,UDXW0H10,6663,0,4,0,1.4,1.3,3,5,40,0
duck,7FOSAGRD,8692,0,4,0,1.4,1.3,3,5,40,0
duck,P8YXMK8N,10721,0,4,0,1.4,1.3,3,5,40,0
duck,M1KINKCQ,12750,0,4,0,1.4,1.3,3,5,40,0
duck,JJA2D8KO,14779,0,4,0,1.4,1.3,3,5,40,0
duck,THQZ54EK,16808,0,4,0,1.4,1.3,3,5,40,0
duck,KR0QNLRN,20000,0,4,0,1.4,1.3,3,5,40,0
duck,OBF0EFOZ,576,12,4,0,1.4,1.3,3,5,40,0
duck,ZD25CXFQ,2605,12,4,0,1.4,1.3,3,5,40,0
duck,09QIG271,4634,12,4,0,1.4,1.3,3,5,40,0
duck,O1JLEAOZ,6663,12,4,0,1.4,1.3,3,5,40,0
